sample,host,viruses,count_viruses
103943-050-012,solanum lycopersicum,"['Pepino mosaic virus', 'Alternanthera mosaic virus', 'Tomato brown rugose fruit virus']",3
104326-015-001,passiflora,"['Cacao red vein-banding virus', 'Dracaena mottle virus', 'Citrus blight-associated pararetrovirus', 'Dioscorea bacilliform virus', 'Sugarcane bacilliform virus', 'Endogenous retrovirus sp.', 'Papaya leaf curl Guandong virus', 'Bougainvillea chlorotic vein banding virus', 'Blackberry virus F']",9
104326-015-002,passiflora,"['Cacao red vein-banding virus', 'Dracaena mottle virus', 'Citrus blight-associated pararetrovirus', 'Dioscorea bacilliform virus', 'Sugarcane bacilliform virus', 'Endogenous retrovirus sp.', 'Papaya leaf curl Guandong virus', 'Blackberry virus F', 'Green Sichuan pepper vein clearing-associated virus']",9
104326-015-003,passiflora,"['Cacao red vein-banding virus', 'Citrus blight-associated pararetrovirus', 'Sugarcane bacilliform virus', 'Bougainvillea chlorotic vein banding virus', 'Blackberry virus F', 'Green Sichuan pepper vein clearing-associated virus']",6
104326-023-001,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-023-002,solanum lycopersicum,"['Pepino mosaic virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-023-003,unknown,"['Cucumber mosaic virus', 'Pepper vein yellows virus', 'Southern tomato virus', 'Pod pepper vein yellows virus', 'Pepper leafroll virus', 'Bacopa chlorosis virus', 'Lactobacillus virus Bacchae', 'Tomato brown rugose fruit virus']",8
104326-023-004,solanum lycopersicum,"['Lactobacillus virus LP65', 'Tomato mosaic virus', 'Lactobacillus virus B2', 'Potato leafroll virus', 'Lactobacillus virus Bacchae']",5
104326-023-005,solanum lycopersicum,"['Tomato mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-023-006,capsicum annuum,"['Tomato brown rugose fruit virus', 'Bell pepper alphaendornavirus', 'Frankliniella occidentalis associated narna-like virus 1', 'Pepper cryptic virus 2']",4
104326-023-007,capsicum annuum,"['Cucumber mosaic virus', 'Pepper mild mottle virus', 'Petunia vein clearing virus', 'Pepper cryptic virus 2', 'Potato virus Y', 'Pepino mosaic virus', 'Pepper enamovirus', 'Bell pepper alphaendornavirus']",8
104326-023-008,solanum lycopersicum,"['Lactobacillus virus LP65', 'Potato leafroll virus', 'Tomato mosaic virus', 'Lactobacillus virus B2']",4
104326-023-009,capsicum annuum,"['Pepper mild mottle virus', 'Petunia vein clearing virus', 'Pepper cryptic virus 2', 'Pepper vein yellows virus', 'Pod pepper vein yellows virus', 'Bell pepper alphaendornavirus', 'Frankliniella occidentalis associated narna-like virus 1']",7
104326-023-010,phalaenopsis,['Dahlia mosaic virus'],1
104326-023-011,solanum tuberosum,['Potato virus Y'],1
104326-023-012,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-023-013,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-023-014,solanum lycopersicum,"['Tomato brown rugose fruit virus', 'Pepino mosaic virus', 'Bacopa chlorosis virus']",3
104326-023-015,solanum lycopersicum,"['Pepino mosaic virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-023-016,capsicum,"['Cucumber mosaic virus', 'Pepper mild mottle virus', 'Pepper vein yellows virus', 'Potato virus Y', 'Pepper leafroll virus', 'Pepper enamovirus']",6
104326-023-017,chamaerops,['Cucumber mosaic virus'],1
104326-023-018,salvia,"['Cucumber mosaic virus', 'Pepper mild mottle virus']",2
104326-023-019,nepeta,['Dahlia mosaic virus'],1
104326-044-001,ficus,['Paper mulberry vein-banding virus'],1
104326-044-003,rosa,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-044-005,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-044-006,solanum lycopersicum,['Tomato brown rugose fruit virus'],1
104326-044-007,ficus,['Paper mulberry vein-banding virus'],1
104326-045-001,beta vulgaris,"['Beet curly top virus', 'Pantoea virus AAS23', 'Klebsiella virus Domnhall', 'Podoviridae sp.']",4
104326-045-002,beta vulgaris,"['Beet curly top virus', 'Pantoea virus AAS23', 'Klebsiella virus Domnhall', 'Podoviridae sp.']",4
104326-045-005,capsicum,['Petunia vein clearing virus'],1
104326-045-006,capsicum,['Petunia vein clearing virus'],1
104326-045-007,cucurbita pepo,['Tomato leaf curl New Delhi virus'],1
104326-045-008,cucurbita pepo,['Tomato leaf curl New Delhi virus'],1
104326-046-004,capsicum annuum,['Tomato spotted wilt orthotospovirus'],1
104326-046-006,capsicum,"['Bell pepper alphaendornavirus', 'Insect narna-like virus 1', 'Tomato spotted wilt orthotospovirus']",3
104326-046-007,capsicum,"['Insect narna-like virus 1', 'Bell pepper alphaendornavirus']",2
104326-046-008,capsicum,"['Insect narna-like virus 1', 'Bell pepper alphaendornavirus']",2
104326-049-002,solanum tuberosum,"['Potato virus M', 'Red clover bacilliform virus']",2
104326-049-003,solanum tuberosum,['Potato virus M'],1
104326-049-005,capsicum,"['Tomato spotted wilt orthotospovirus', 'Insect narna-like virus 1', 'Bell pepper alphaendornavirus']",3
104326-049-006,capsicum,"['Bell pepper alphaendornavirus', 'Insect narna-like virus 1', 'Tomato spotted wilt orthotospovirus']",3
104326-049-008,solanum tuberosum,"['Potato virus M', 'Red clover bacilliform virus']",2
104326-049-009,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-049-010,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-049-011,unknown,['Pepino mosaic virus'],1
104326-049-012,unknown,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-049-013,capsicum,"['Insect narna-like virus 1', 'Bell pepper alphaendornavirus']",2
104326-050-002,wisteria,['Peanut chlorotic streak virus'],1
104326-050-003,solanum tuberosum,"['Potato virus S', 'Red clover bacilliform virus']",2
104326-050-004,solanum tuberosum,"['Peanut chlorotic streak virus', 'Potato virus S', 'Red clover bacilliform virus']",3
104326-050-005,paeonia lactiflora,"['Gentian Kobu-sho-associated virus', 'Piper DNA virus 2']",2
104326-050-006,paeonia lactiflora,"['Gentian Kobu-sho-associated virus', 'Piper DNA virus 2']",2
104326-050-008,capsicum,['Red clover bacilliform virus'],1
104326-052-002,cucumis sativus,['Cucurbit aphid-borne yellows virus'],1
104326-052-003,cucumis sativus,"['Cucurbit aphid-borne yellows virus', 'Cucumber green mottle mosaic virus']",2
104326-052-004,cucumis sativus,"['Cucumber green mottle mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-052-005,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-052-006,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-056-002,b lillium,['Figwort mosaic virus'],1
104326-056-003,w lillium,"['Riboviria sp.', 'Rose yellow vein virus', 'Streptomyces virus BRock', 'Mitovirus sp.', 'Figwort mosaic virus', 'Streptomyces virus YDN12', 'Partitiviridae sp.']",7
104326-056-004,b lillium,['Figwort mosaic virus'],1
104326-056-005,w lillium,"['Mitovirus sp.', 'Rhizophagus diaphanum mitovirus 2', 'Leviviridae sp.', 'Rhizophagus diaphanum mitovirus 1', 'Partitiviridae sp.', 'Rhizophagus irregularis mitovirus 2']",6
104326-056-006,w lillium,"['Riboviria sp.', 'Mitovirus sp.', 'Leviviridae sp.']",3
104326-056-007,b lillium,"['Rose yellow vein virus', 'Figwort mosaic virus']",2
104326-056-008,w lillium,"['Streptomyces virus BRock', 'Mitovirus sp.', 'Figwort mosaic virus', 'Leviviridae sp.', 'Streptomyces virus YDN12']",5
104326-056-009,b lillium,['Plantago asiatica mosaic virus'],1
104326-056-010,w lillium,"['Mitovirus sp.', 'Plantago asiatica mosaic virus', 'Leviviridae sp.', 'Streptomyces virus YDN12', 'Tobacco rattle virus']",5
104326-056-011,b lillium,['Figwort mosaic virus'],1
104326-056-012,w lillium,"['Riboviria sp.', 'Mitovirus sp.', 'Leviviridae sp.']",3
104326-056-014,w lillium,"['Mitovirus sp.', 'Rhizophagus diaphanum mitovirus 2', 'Rhizophagus diaphanum mitovirus 1', 'Rhizophagus irregularis mitovirus 2']",4
104326-056-016,w lillium,"['Mitovirus sp.', 'Tobacco rattle virus']",2
104326-058-004,capsicum,['Pepper mild mottle virus'],1
104326-058-005,hylocereus,"['Schlumbergera virus X', 'Zygocactus virus X', 'Pitaya virus X', 'Rattail cactus necrosis-associated virus', 'Cactus mild mottle virus', 'Cactus virus X', 'Prunus virus T']",7
104326-058-006,gymnocalicium,"['Pepper mild mottle virus', 'Zygocactus virus X', 'Schlumbergera virus X', 'Opuntia virus 2', 'Rattail cactus necrosis-associated virus', 'Pitaya virus X', 'Cactus mild mottle virus', 'Cactus virus X', 'Prunus virus T']",9
104326-058-007,paeonia,['Cucumber mosaic virus'],1
104326-058-008,paeonia,"['Cucumber mosaic virus', 'Schlumbergera virus X', 'Zygocactus virus X', 'Opuntia virus 2', 'Pitaya virus X', 'Rattail cactus necrosis-associated virus', 'Cactus mild mottle virus', 'Cactus virus X']",8
104326-058-010,paeonia,"['Pepper mild mottle virus', 'Piper DNA virus 1']",2
104326-058-011,yacon,"['Dahlia mosaic virus', 'Yacon necrotic mottle virus', 'Piper DNA virus 1']",3
104326-058-012,yacon,"['Dahlia mosaic virus', 'Yacon necrotic mottle virus', 'Piper DNA virus 1']",3
104326-060-001,cucumis sativus,['Cucurbit aphid-borne yellows virus'],1
104326-060-002,cucumis sativus,['Cucurbit aphid-borne yellows virus'],1
104326-060-004,solanum lycopersicum,['Pepino mosaic virus'],1
104326-060-005,solanum lycopersicum,['Pepino mosaic virus'],1
104326-060-006,solanum lycopersicum,['Pepino mosaic virus'],1
104326-060-007,cucumis sativus,"['Cucurbit aphid-borne yellows virus', 'Cucumber green mottle mosaic virus']",2
104326-060-008,cucumis sativus,['Cucurbit aphid-borne yellows virus'],1
104326-060-009,cucumis sativus,"['Cucurbit aphid-borne yellows virus', 'Cucumber green mottle mosaic virus']",2
104326-060-010,cucumis sativus,['Cucurbit aphid-borne yellows virus'],1
104326-060-011,cucumis sativus,['Cucurbit aphid-borne yellows virus'],1
104326-060-012,cucumis sativus,['Cucurbit aphid-borne yellows virus'],1
104326-060-013,cucumis sativus,['Cucurbit aphid-borne yellows virus'],1
104326-060-014,unknown,['Cucurbit aphid-borne yellows virus'],1
104326-060-015,cucumis sativus,['Cucurbit aphid-borne yellows virus'],1
104326-060-019,cucumis sativus,"['Cucurbit aphid-borne yellows virus', 'Cucumber green mottle mosaic virus']",2
104326-060-020,cucumis sativus,['Cucurbit aphid-borne yellows virus'],1
104326-060-021,cucumis sativus,['Cucurbit aphid-borne yellows virus'],1
104326-060-023,cucurbita pepo,['Cucurbit aphid-borne yellows virus'],1
104326-061-001,solanum lycopersicum,['Tomato brown rugose fruit virus'],1
104326-061-002,solanum lycopersicum,"['Alternanthera mosaic virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-061-003,solanum lycopersicum,"['Alternanthera mosaic virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-061-004,solanum lycopersicum,"['Alternanthera mosaic virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-061-005,solanum lycopersicum,"['Alternanthera mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-061-006,solanum lycopersicum,"['Alternanthera mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-061-007,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-061-008,solanum lycopersicum,"['Pepino mosaic virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-061-009,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-065-001,unknown,"['Dahlia mosaic virus', 'Piper DNA virus 1', 'Garlic virus X']",3
104326-065-002,unknown,"['Cacao red vein-banding virus', 'Grapevine Roditis leaf discoloration-associated virus', 'Yacon necrotic mottle virus', 'Epiphyllum badnavirus 1', 'Cacao Bacilliform SriLanka Virus', 'Sugarcane bacilliform virus', 'Rice tungro bacilliform virus', 'Garlic virus X', 'Ambrosia asymptomatic virus 2 UKM-2007', 'Ambrosia asymptomatic virus 1', 'Red clover carlavirus 1', 'Blackberry virus F', 'Dahlia mosaic virus', 'Phlomis mottle virus', 'Piper DNA virus 1']",15
104326-065-003,unknown,"['Yacon necrotic mottle virus', 'Sugarcane bacilliform virus', 'Cacao Bacilliform SriLanka Virus', 'Rice tungro bacilliform virus', 'Garlic virus X', 'Ambrosia asymptomatic virus 1', 'Blackberry virus F', 'Dahlia mosaic virus', 'Piper DNA virus 1']",9
104326-065-004,unknown,"['Cacao red vein-banding virus', 'Grapevine Roditis leaf discoloration-associated virus', 'Yacon necrotic mottle virus', 'Epiphyllum badnavirus 1', 'Cacao Bacilliform SriLanka Virus', 'Sugarcane bacilliform virus', 'Rice tungro bacilliform virus', 'Garlic virus X', 'Ambrosia asymptomatic virus 2 UKM-2007', 'Ambrosia asymptomatic virus 1', 'Red clover carlavirus 1', 'Blackberry virus F', 'Dahlia mosaic virus', 'Phlomis mottle virus', 'Piper DNA virus 1']",15
104326-067-001,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-067-002,solanum lycopersicum,"['Broad bean wilt virus 1', 'Pepino mosaic virus', 'Penicillium magoulivirus', 'Tomato brown rugose fruit virus']",4
104326-067-003,solanum lycopersicum,['Pepino mosaic virus'],1
104326-067-005,solanum lycopersicum,"['Broad bean wilt virus 1', 'Pepino mosaic virus', 'Penicillium magoulivirus', 'Tomato brown rugose fruit virus']",4
104326-074-002,capsicum,"['Cassava vein mosaic virus', 'Cucumber mosaic virus', 'Pepper cryptic virus 2', 'Pepper vein yellows virus 2', 'Insect narna-like virus 1']",5
104326-074-004,capsicum,"['Insect narna-like virus 1', 'Pepper cryptic virus 2']",2
104326-074-005,rosa,['Rose cryptic virus 1'],1
104326-074-007,a rosa,"['Rose rosette emaravirus', 'Rose cryptic virus 1']",2
104326-074-008,b rosa,"['Rose rosette emaravirus', 'Rose cryptic virus 1']",2
104326-074-009,capsicum,"['Cassava vein mosaic virus', 'Cucumber mosaic virus', 'Pepper cryptic virus 2', 'Pepper vein yellows virus 2', 'Insect narna-like virus 1']",5
104326-079-001,lonicera japonica,"['Honeysuckle yellow vein betasatellite', 'Aristotelia chilensis virus 1', 'Honeysuckle yellow vein virus']",3
104326-079-004,lonicera japonica,"['Honeysuckle yellow vein betasatellite', 'Aristotelia chilensis virus 1', 'Honeysuckle yellow vein virus']",3
104326-080-001,solanum lycopersicum,"['Pepino mosaic virus', 'Southern tomato virus']",2
104326-080-002,solanum lycopersicum,"['Pepino mosaic virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-080-003,passiflora,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-080-004,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-080-006,solanum lycopersicum,"['Pepino mosaic virus', 'Southern tomato virus']",2
104326-081-001,solanum lycopersicum,['Pepino mosaic virus'],1
104326-081-002,solanum lycopersicum,"['Cucumber mosaic virus', 'Pepino mosaic virus', 'Southern tomato virus']",3
104326-081-003,solanum lycopersicum,['Pepino mosaic virus'],1
104326-081-005,tulipa,['Cucumber mosaic virus'],1
104326-081-008,solanum lycopersicum,['Southern tomato virus'],1
104326-085-002,citrus latifolia,"['Riboviria sp.', 'Citrus exocortis viroid', 'Siphoviridae sp.', 'Citrus endogenous pararetrovirus', 'Citrus blight-associated pararetrovirus', 'Fusarium oxysporum dianthi hypovirus 2', 'Erysiphe necator associated virus 6', 'Plasmopamonavirus plasmoparae', 'Citrus tristeza virus', 'Citrus dwarfing viroid']",10
104326-085-003,citrus latifolia,"['Picornavirales sp.', 'Citrus exocortis viroid', 'Citrus blight-associated pararetrovirus', 'Citrus endogenous pararetrovirus', 'PNG bee virus 4', 'Diaphorina citri picorna-like virus', 'Erysiphe necator associated virus 6', 'Plasmopamonavirus plasmoparae', 'Citrus tristeza virus']",9
104326-085-004,citrus latifolia,"['Citrus exocortis viroid', 'Siphoviridae sp.', 'Citrus blight-associated pararetrovirus', 'Citrus endogenous pararetrovirus', 'Penicillium discovirus', 'Plasmopamonavirus plasmoparae', 'Myoviridae sp.', 'Citrus tristeza virus']",8
104326-085-005,citrus latifolia,"['Picornavirales sp.', 'Citrus exocortis viroid', 'Riboviria sp.', 'Siphoviridae sp.', 'Citrus endogenous pararetrovirus', 'Citrus blight-associated pararetrovirus', 'PNG bee virus 4', 'Myoviridae sp.', 'Citrus tristeza virus']",9
104326-085-006,citrus latifolia,"['Citrus exocortis viroid', 'Citrus endogenous pararetrovirus', 'Citrus blight-associated pararetrovirus', 'Penicillium discovirus', 'Diaphorina citri picorna-like virus', 'Plasmopara viticola lesion associated ourmia-like virus 15', 'Citrus tristeza virus', 'Citrus dwarfing viroid']",8
104326-085-007,delphinium,"['Dahlia mosaic virus', 'Figwort mosaic virus', 'Cauliflower mosaic virus']",3
104326-085-008,delphinium,"['Dahlia mosaic virus', 'Figwort mosaic virus', 'Cauliflower mosaic virus', 'Plasmopara viticola lesion associated ourmia-like virus 38']",4
104326-085-009,delphinium,"['Mirabilis mosaic virus', 'Cauliflower mosaic virus', 'Figwort mosaic virus', 'Dahlia mosaic virus', 'Citrus tristeza virus']",5
104326-085-010,delphinium,"['Isatis caulimovirus A', 'Mirabilis mosaic virus', 'Cauliflower mosaic virus', 'Figwort mosaic virus', 'Tomato spotted wilt orthotospovirus']",5
104326-085-011,delphinium,['Cauliflower mosaic virus'],1
104326-085-012,delphinium,"['Mirabilis mosaic virus', 'Cauliflower mosaic virus', 'Plasmopara viticola lesion associated ourmia-like virus 15', 'Erysiphe necator associated virus 6', 'Plasmopara viticola lesion associated ourmia-like virus 38', 'Dahlia mosaic virus']",6
104326-085-014,delphinium,"['Isatis caulimovirus A', 'Dahlia mosaic virus', 'Cauliflower mosaic virus']",3
104326-085-015,delphinium,['Tomato spotted wilt orthotospovirus'],1
104326-085-017,citrus latifolia,"['Riboviria sp.', 'Siphoviridae sp.', 'Citrus blight-associated pararetrovirus', 'Citrus endogenous pararetrovirus', 'Fusarium oxysporum dianthi hypovirus 2', 'Myoviridae sp.', 'Citrus tristeza virus', 'Citrus dwarfing viroid']",8
104326-088-003,solanum lycopersicum,"['Tomato blunervirus 1', 'Pepino mosaic virus', 'Tomato fruit blotch virus']",3
104326-088-004,solanum lycopersicum,"['Tomato blunervirus 1', 'Pepino mosaic virus', 'Tomato fruit blotch virus']",3
104326-088-006,lonicera japonica,['Siphoviridae sp.'],1
104326-088-013,hibiscus rosa sinensis,['Siphoviridae sp.'],1
105447-055-005,abutilon,['Maize dwarf mosaic virus'],1
104326-042-002,bacopa,['Tobacco ringspot virus'],1
104326-042-003,portulaca,['Tobacco ringspot virus'],1
104326-042-005,celosia,['Tobacco ringspot virus'],1
104326-042-004,iris ensata,['Tobacco ringspot virus'],1
104326-033-003,capsicum annuum,"['Potato virus Y', 'Insect narna-like virus 1', 'Pepper cryptic virus 2']",3
104326-034-007,tulipa,"['Cucumber mosaic virus', 'Ocimum basilicum RNA virus 1', 'Hardenbergia virus A', 'Diuris virus A']",4
104326-037-003,capsicum,"['Insect narna-like virus 1', 'Bell pepper alphaendornavirus']",2
104326-037-007,capsicum annuum,"['Bell pepper alphaendornavirus', 'Petunia vein clearing virus']",2
104326-040-007,solanum lycopersicum,"['Pepino mosaic virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-034-006,tulipa,"['Cucumber mosaic virus', 'Ocimum basilicum RNA virus 1', 'Hardenbergia virus A', 'Diuris virus A']",4
104326-034-002,tulipa,"['Hardenbergia virus A', 'Cucumber mosaic virus']",2
104326-034-005,tulipa,"['Hardenbergia virus A', 'Cucumber mosaic virus', 'Diuris virus A']",3
104326-040-001,solanum lycopersicum,"['Southern tomato virus', 'Tomato brown rugose fruit virus']",2
104326-034-004,tulipa,"['Cucumber mosaic virus', 'Hardenbergia virus A']",2
104326-034-003,tulipa,"['Cucumber mosaic virus', 'Ocimum basilicum RNA virus 1', 'Hardenbergia virus A', 'Diuris virus A']",4
104326-031-009,s. lycopersicum,"['Pepino mosaic virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-031-008,s. lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-031-007,s. lycopersicum,['Pepino mosaic virus'],1
104326-031-002,s. lycopersicum,"['Pepino mosaic virus', 'Bacopa chlorosis virus', 'Tomato brown rugose fruit virus']",3
104326-031-005,s. lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-031-006,s. lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-040-006,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-040-005,solanum lycopersicum,"['Pepino mosaic virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-033-006,capsicum,"['Potato virus Y', 'Insect narna-like virus 1', 'Pepper cryptic virus 2']",3
104326-033-004,capsicum annuum,"['Insect narna-like virus 1', 'Pepper cryptic virus 2']",2
104326-037-002,capsicum,"['Insect narna-like virus 1', 'Petunia vein clearing virus']",2
104326-031-004,s. lycopersicum,"['Dahlia pinnata mitovirus 1', 'Pepino mosaic virus', 'Alternanthera mosaic virus', 'Tomato brown rugose fruit virus']",4
104326-031-003,s. lycopersicum,"['Dahlia pinnata mitovirus 1', 'Southern tomato virus', 'Bacopa chlorosis virus', 'Alternanthera mosaic virus', 'Tomato brown rugose fruit virus']",5
104326-031-010,s. lycopersicum,"['Pepino mosaic virus', 'Alternanthera mosaic virus']",2
104326-040-004,solanum lycopersicum,"['Alternanthera mosaic virus', 'Pepino mosaic virus', 'Tomato chlorosis virus', 'Tomato brown rugose fruit virus']",4
104326-040-003,solanum lycopersicum,"['Alternanthera mosaic virus', 'Tomato chlorosis virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",4
104326-040-002,solanum lycopersicum,['Tomato brown rugose fruit virus'],1
104326-033-005,capsicum,"['Insect narna-like virus 1', 'Pepper cryptic virus 2']",2
104326-027-002,solanum melongena,"['Petunia vein clearing virus', 'Tomato yellow leaf curl Kanchanaburi virus']",2
104326-027-003,solanum melongena,"['Petunia vein clearing virus', 'Tomato yellow leaf curl Kanchanaburi virus']",2
104326-042-006,phlox subulata,['Tobacco ringspot virus'],1
104326-033-002,oxalis,['Cestrum yellow leaf curling virus'],1
104326-033-007,hemerocallis,['Cestrum yellow leaf curling virus'],1
104326-041-007,solanum tuberosum,['Myoviridae sp.'],1
104326-037-004,lonicera,"['Erysiphe necator associated ourmia-like virus 88', 'Erysiphe necator associated ourmia-like virus 78']",2
104326-037-005,beta vulgaris,"['Erysiphe necator associated ourmia-like virus 88', 'Erysiphe necator associated ourmia-like virus 78']",2
104326-041-005,rosa,['Myoviridae sp.'],1
104326-042-001,lobelia,['Tobacco ringspot virus'],1
104326-092-001,capsicum,"['Maize associated partiti-like virus', 'Epiphyllum virus 4', 'Pepper vein yellows virus', 'Potato virus Y']",4
104326-092-002,capsicum,"['Maize associated partiti-like virus', 'Epiphyllum virus 4', 'Pepper vein yellows virus', 'Potato virus Y']",4
104326-095-002,capsicum,"['Cucumber mosaic virus', 'Tomato brown rugose fruit virus', 'Pepino mosaic virus', 'Potato virus Y']",4
104326-095-003,raphanus sativus,['Turnip mosaic virus'],1
104326-095-004,cestrum latifolium,"['Cucumber mosaic virus', 'Turnip mosaic virus', 'Potato virus Y']",3
104326-095-005,unknown,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-095-006,solanum betaceum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-095-007,cucumis sativus,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-095-008,mentha,['Tomato brown rugose fruit virus'],1
104326-096-002,solanum lycopersicum,"['Tomato blunervirus 1', 'Pepino mosaic virus', 'Southern tomato virus']",3
104326-096-003,solanum lycopersicum,['Southern tomato virus'],1
104326-096-007,solanum lycopersicum,"['Tomato blunervirus 1', 'Pepino mosaic virus']",2
104326-099-002,solanum lycopersicum,['Pepino mosaic virus'],1
104326-099-004,cucumis sativus,['Cucurbit aphid-borne yellows virus'],1
104326-099-006,solanum lycopersicum,['Pepino mosaic virus'],1
104326-099-007,cucumis sativus,['Cucurbit aphid-borne yellows virus'],1
104326-102-004,solanum lycopersicum,"['Siphoviridae sp.', 'Pepino mosaic virus']",2
104326-102-005,solanum lycopersicum,['Pepino mosaic virus'],1
104326-102-007,petunia,['Petunia exserta mitovirus 1'],1
104326-102-008,petunia,['Petunia exserta mitovirus 1'],1
104326-102-010,solanum lycopersicum,"['Pepino mosaic virus', 'La Jolla virus', 'Tomato brown rugose fruit virus']",3
104326-102-011,solanum lycopersicum,"['Pepino mosaic virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-102-012,solanum lycopersicum,"['Pepino mosaic virus', 'La Jolla virus', 'Tomato brown rugose fruit virus']",3
104326-102-013,solanum lycopersicum,"['Alternanthera mosaic virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-102-014,solanum lycopersicum,"['Alternanthera mosaic virus', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-102-015,solanum lycopersicum,"['Siphoviridae sp.', 'Southern tomato virus', 'Tomato brown rugose fruit virus']",3
104326-102-016,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
104326-107-002,bromelia,"['Siphoviridae sp.', 'Vaccinia virus', 'Fringilla montifringilla Circoviridae sp.', 'Phoenicopteridae parvo-like hybrid virus', 'Pepino mosaic virus']",5
104326-107-003,asparagus officinalis,"['Phoenicopteridae parvo-like hybrid virus', 'Siphoviridae sp.', 'Microviridae sp.', 'uncultured virus']",4
104326-107-004,vanda hybride,"['Vaccinia virus', 'Siphoviridae sp.', 'Myoviridae sp.', 'uncultured virus']",4
104326-107-005,baptisia,"['Siphoviridae sp.', 'Microviridae sp.', 'Fringilla montifringilla Circoviridae sp.', 'Myoviridae sp.', 'uncultured virus']",5
104326-107-007,solanum lycopersicum,['Potato virus T'],1
104326-107-008,solanum lycopersicum,['Potato virus T'],1
104326-107-009,solanum lycopersicum,['Pepino mosaic virus'],1
104326-108-002,solanum lycopersicum,"['Plasmopara viticola lesion associated orfanplasmovirus 5', 'Tomato mosaic virus', 'Tomato mottle mosaic virus', 'Sclerotinia sclerotiorum umbra-like virus 3', 'Erysiphe necator associated abispo virus 1', 'Alternanthera mosaic virus']",6
104326-108-003,solanum lycopersicum,"['Tomato mosaic virus', 'Tomato mottle mosaic virus', 'Bacopa chlorosis virus', 'Erysiphe necator associated abispo virus 1', 'Broad bean wilt virus 1', 'Alternanthera mosaic virus']",6
104326-108-004,solanum lycopersicum,"['Cucumber mosaic virus', 'Tomato mottle mosaic virus', 'Alternanthera mosaic virus', 'Tomato mosaic virus']",4
104326-108-005,solanum lycopersicum,"['Tomato mottle mosaic virus', 'Tomato mosaic virus']",2
104326-108-006,solanum lycopersicum,"['Tomato mottle mosaic virus', 'Tomato mosaic virus']",2
104326-108-007,solanum lycopersicum,"['Alternanthera mosaic virus', 'Tomato mottle mosaic virus', 'Tomato mosaic virus']",3
